name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
11 Comae Berenices b,11 Comae Berenices,https://science.nasa.gov/exoplanet-catalog/11-comae-berenices-b/,Gas Giant,4914.9231199999995,1.09,323.2,1.178,0.24,Radial Velocity,K
11 Ursae Minoris b,11 Ursae Minoris,https://science.nasa.gov/exoplanet-catalog/11-ursae-minoris-b/,Gas Giant,4684.8142,1.09,1.4,1.53,0.08,Radial Velocity,K
14 Andromedae b,14 Andromedae,https://science.nasa.gov/exoplanet-catalog/14-andromedae-b/,Gas Giant,1131.15697,1.16,186.8,0.775,0.0,Radial Velocity,K
14 Herculis b,14 Herculis,https://science.nasa.gov/exoplanet-catalog/14-herculis-b/,Gas Giant,2559.48499,1.12,4.8,2.774,0.37,Radial Velocity,G
16 Cygni B b,16 Cygni B,https://science.nasa.gov/exoplanet-catalog/16-cygni-b-b/,Gas Giant,565.7374,1.2,2.2,1.66,0.68,Radial Velocity,G
17 Scorpii b,17 Scorpii,https://science.nasa.gov/exoplanet-catalog/17-scorpii-b/,Gas Giant,1373.0256,1.15,1.6,1.45,0.06,Radial Velocity,K
18 Delphini b,18 Delphini,https://science.nasa.gov/exoplanet-catalog/18-delphini-b/,Gas Giant,2926.26081,1.12,2.7,2.476,0.02,Radial Velocity,K
1RXS J160929.1-210524 b,1RXS J160929.1-210524,https://science.nasa.gov/exoplanet-catalog/1rxs-j1609291-210524-b/,Gas Giant,2542.64,1.664,6505.9,330,Not Found,Imaging,K
24 Bootis b,24 Bootis,https://science.nasa.gov/exoplanet-catalog/24-bootis-b/,Gas Giant,280.64389,1.24,30.3,0.194,0.03,Radial Velocity,K
24 Sextantis b,24 Sextantis,https://science.nasa.gov/exoplanet-catalog/24-sextantis-b/,Gas Giant,632.4816999999999,1.19,452.8,1.333,0.09,Radial Velocity,K
24 Sextantis c,24 Sextantis,https://science.nasa.gov/exoplanet-catalog/24-sextantis-c/,Gas Giant,273.3338,1.24,2.4,2.08,0.29,Radial Velocity,K
2M0437 b,2M0437,https://science.nasa.gov/exoplanet-catalog/2m0437-b/,Gas Giant,1271.32,1.16,3110.6,118,Not Found,Imaging,M
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 AB,https://science.nasa.gov/exoplanet-catalog/2mass-j01033563-5515561-ab-b/,Gas Giant,4131.79,1.1,1767.2,84,Not Found,Imaging,Not Found
2MASS J01225093-2439505 b,2MASS J01225093-2439505,https://science.nasa.gov/exoplanet-catalog/2mass-j01225093-2439505-b/,Gas Giant,7786.835,1.0,593.2,52,Not Found,Imaging,M
2MASS J02192210-3925225 b,2MASS J02192210-3925225,https://science.nasa.gov/exoplanet-catalog/2mass-j02192210-3925225-b/,Gas Giant,4417.8369999999995,1.44,5932.3,156,Not Found,Imaging,M
2MASS J0249-0557 c,2MASS J0249-0557,https://science.nasa.gov/exoplanet-catalog/2mass-j0249-0557-c/,Gas Giant,3686.8279999999995,1.11,401718,1950,Not Found,Imaging,M
2MASS J03590986+2009361 b,2MASS J03590986+2009361,https://science.nasa.gov/exoplanet-catalog/2mass-j035909862009361-b/,Gas Giant,5720.94,1.08,26590.3,572,Not Found,Imaging,M
2MASS J04414489+2301513 b,2MASS J04414489+2301513,https://science.nasa.gov/exoplanet-catalog/2mass-j044144892301513-b/,Gas Giant,2383.725,1.13,411,15,Not Found,Imaging,M
2MASS J11011926-7732383 b,2MASS J11011926-7732383,https://science.nasa.gov/exoplanet-catalog/2mass-j11011926-7732383-b/,Gas Giant,8899.24,1.06,365,266,Not Found,Imaging,Not Found
2MASS J11550485-7919108 b,2MASS J11550485-7919108,https://science.nasa.gov/exoplanet-catalog/2mass-j11550485-7919108-b/,Gas Giant,6356.599999999999,1.08,18550.1,587,Not Found,Imaging,M
2MASS J12073346-3932539 b,2MASS J12073346-3932539,https://science.nasa.gov/exoplanet-catalog/2mass-j12073346-3932539-b/,Gas Giant,1589.1499999999999,1.15,2634.4,55,Not Found,Imaging,M
2MASS J19383260+4603591 b,2MASS J19383260+4603591,https://science.nasa.gov/exoplanet-catalog/2mass-j193832604603591-b/,Gas Giant,603.877,1.2,406,0.92,0.33,Eclipse Timing Variations,B
2MASS J21252752-8138278 b,2MASS J21252752-8138278,https://science.nasa.gov/exoplanet-catalog/2mass-j21252752-8138278-b/,Gas Giant,3813.96,1.1,811226.1,7493,Not Found,Imaging,M
2MASS J22362452+4751425 b,2MASS J22362452+4751425,https://science.nasa.gov/exoplanet-catalog/2mass-j223624524751425-b/,Gas Giant,3972.875,1.1,4505.7,230,Not Found,Imaging,K
30 Arietis B b,30 Arietis B,https://science.nasa.gov/exoplanet-catalog/30-arietis-b-b/,Gas Giant,4392.4106,1.1,335.1,0.99,0.29,Radial Velocity,F
4 Ursae Majoris b,4 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/4-ursae-majoris-b/,Gas Giant,2511.49266,1.12,270.3,0.877,0.45,Radial Velocity,K
42 Draconis b,42 Draconis,https://science.nasa.gov/exoplanet-catalog/42-draconis-b/,Gas Giant,1233.1804,1.16,479.1,1.19,0.38,Radial Velocity,K
47 Ursae Majoris b,47 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/47-ursae-majoris-b/,Gas Giant,804.1098999999999,1.18,3,2.1,0.03,Radial Velocity,G
47 Ursae Majoris c,47 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/47-ursae-majoris-c/,Gas Giant,171.6282,1.27,6.6,3.6,0.1,Radial Velocity,G
47 Ursae Majoris d,47 Ursae Majoris,https://science.nasa.gov/exoplanet-catalog/47-ursae-majoris-d/,Gas Giant,521.2411999999999,1.2,38.4,11.6,0.16,Radial Velocity,G
51 Eridani b,51 Eridani,https://science.nasa.gov/exoplanet-catalog/51-eridani-b/,Gas Giant,635.66,1.19,32,13.2,0.45,Imaging,F
51 Pegasi b,51 Pegasi,https://science.nasa.gov/exoplanet-catalog/51-pegasi-b/,Gas Giant,146.2018,1.27,4.2,0.0527,0.01,Radial Velocity,G
55 Cancri b,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-b/,Gas Giant,263.989598,1.24,14.7,0.1134,0.0,Radial Velocity,K
55 Cancri c,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-c/,Gas Giant,54.476062,0.76,44.4,0.2373,0.03,Radial Velocity,K
55 Cancri d,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-d/,Gas Giant,1232.54474,1.16,15.3,5.957,0.13,Radial Velocity,K
55 Cancri e,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-e/,Super Earth,7.99,1.875,0.7,0.01544,0.05,Radial Velocity,Not Found
55 Cancri f,55 Cancri,https://science.nasa.gov/exoplanet-catalog/55-cancri-f/,Gas Giant,44.814029999999995,0.677,259.9,0.7708,0.08,Radial Velocity,K
6 Lyncis b,6 Lyncis,https://science.nasa.gov/exoplanet-catalog/6-lyncis-b/,Gas Giant,597.83823,1.2,2.5,2.028,0.04,Radial Velocity,K
61 Virginis b,61 Virginis,https://science.nasa.gov/exoplanet-catalog/61-virginis-b/,Neptune-like,5.1,2.11,4.2,0.050201,0.12,Radial Velocity,G
61 Virginis c,61 Virginis,https://science.nasa.gov/exoplanet-catalog/61-virginis-c/,Neptune-like,18.2,0.398,38,0.2175,0.14,Radial Velocity,G
61 Virginis d,61 Virginis,https://science.nasa.gov/exoplanet-catalog/61-virginis-d/,Neptune-like,22.9,0.456,123,0.476,0.35,Radial Velocity,G
7 Canis Majoris b,7 Canis Majoris,https://science.nasa.gov/exoplanet-catalog/7-canis-majoris-b/,Gas Giant,587.9855,1.2,2,1.758,0.06,Radial Velocity,K
7 Canis Majoris c,7 Canis Majoris,https://science.nasa.gov/exoplanet-catalog/7-canis-majoris-c/,Gas Giant,276.5121,1.24,2.7,2.153,0.08,Radial Velocity,K
70 Virginis b,70 Virginis,https://science.nasa.gov/exoplanet-catalog/70-virginis-b/,Gas Giant,2380.5467,1.13,116.7,0.481,0.4,Radial Velocity,G
75 Ceti b,75 Ceti,https://science.nasa.gov/exoplanet-catalog/75-ceti-b/,Gas Giant,787.90057,1.18,1.9,1.912,0.09,Radial Velocity,K
75 Ceti c,75 Ceti,https://science.nasa.gov/exoplanet-catalog/75-ceti-c/,Gas Giant,289.86096,1.24,5.6,3.929,0.02,Radial Velocity,K
8 Ursae Minoris b,8 Ursae Minoris,https://science.nasa.gov/exoplanet-catalog/8-ursae-minoris-b/,Gas Giant,416.3573,1.22,93.4,0.49,0.06,Radial Velocity,K
81 Ceti b,81 Ceti,https://science.nasa.gov/exoplanet-catalog/81-ceti-b/,Gas Giant,1051.0638099999999,1.17,2.8,2.104,0.04,Radial Velocity,K
91 Aquarii b,91 Aquarii,https://science.nasa.gov/exoplanet-catalog/91-aquarii-b/,Gas Giant,1017.056,1.17,181.4,0.7,0.03,Radial Velocity,K
AB Aurigae b,AB Aurigae,https://science.nasa.gov/exoplanet-catalog/ab-aurigae-b/,Gas Giant,2860.47,1.12,587.7,93.9,0.4,Imaging,A
AB Pictoris b,AB Pictoris,https://science.nasa.gov/exoplanet-catalog/ab-pictoris-b/,Gas Giant,4290.705,1.1,4421.7,260,Not Found,Imaging,K
