Name,Attribute,Level,Type,ATK,DEF,Description
3-Hump Lacooda,EARTH,Level 3,Beast/Effect,500.0,1500.0,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards."
4-Starred Ladybug of Doom,WIND,Level 3,Insect/Flip／Effect,800.0,1200.0,FLIP: Destroy all Level 4 monsters your opponent controls.
7 Colored Fish,WATER,Level 4,Fish/Normal,1800.0,800.0,A rare rainbow fish that has never been caught by mortal man.
8-Claws Scorpion,DARK,Level 2,Insect/Effect,300.0,200.0,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only."
"A Bao A Qu, the Lightless Shadow",DARK,,Fiend/Link／Effect,2800.0,,"2+ monsters, including a Fiend monsterDuring the Main Phase (Quick Effect): You can discard 1 card, then activate 1 of these effects;●Destroy 1 card on the field.●Banish this card (until the End Phase), and if you do, Special Summon 1 LIGHT or DARK monster from your GY.During your Standby Phase: You can draw cards equal to the number of different Monster Types in your GY, then place cards from your hand on the bottom of the Deck in any order, equal to the number of cards you drew. You can only use each effect of ""A Bao A Qu, the Lightless Shadow"" once per turn."
A Cat of Ill Omen,DARK,Level 2,Beast/Flip／Effect,500.0,300.0,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead."
A Man with Wdjat,DARK,Level 4,Spellcaster/Effect,1600.0,1600.0,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position."
A-Assault Core,LIGHT,Level 4,Machine/Union／Effect,1900.0,200.0,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand."
A-Team: Trap Disposal Unit,FIRE,Level 2,Machine/Effect,300.0,400.0,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it."
A-to-Z-Dragon Buster Cannon,LIGHT,Level 10,Machine/Fusion／Effect,4000.0,4000.0,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them."
A/D Changer,LIGHT,Level 1,Warrior/Effect,100.0,100.0,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position."
Abaki,FIRE,Level 4,Fiend/Effect,1700.0,1100.0,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage."
Abare Ushioni,EARTH,Level 4,Beast-Warrior/Effect,1200.0,1200.0,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage."
ABC-Dragon Buster,LIGHT,Level 8,Machine/Fusion／Effect,3000.0,2800.0,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them."
Abominable Unchained Soul,DARK,Level 8,Fiend/Effect,3000.0,1500.0,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field."
Absolute Crusader,EARTH,Level 4,Warrior/Effect,1800.0,1200.0,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).
Absolute King Back Jack,DARK,Level 1,Fiend/Effect,0.0,0.0,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn."
Absorbing Jar,EARTH,Level 3,Rock/Flip／Effect,600.0,500.0,"FLIP: Destroy all Set Spells/Traps on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn."
Absorbing Kid from the Sky,LIGHT,Level 4,Fairy/Effect,1300.0,1000.0,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points."
Absorouter Dragon,DARK,Level 7,Dragon/Effect,1200.0,2800.0,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn."
Abyss Actor - Comic Relief,DARK,Level 3,Fiend/Pendulum／Effect,1000.0,2000.0,"You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone."
Abyss Actor - Curtain Raiser,DARK,Level 4,Fiend/Pendulum／Effect,1100.0,1000.0,"Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand."
Abyss Actor - Evil Heel,DARK,Level 8,Fiend/Pendulum／Effect,3000.0,2000.0,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card."
Abyss Actor - Extras,DARK,Level 1,Fiend/Pendulum／Effect,100.0,100.0,"You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn."
Abyss Actor - Funky Comedian,DARK,Level 1,Fiend/Pendulum／Effect,300.0,200.0,"If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn."
